block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14406535;2022-03-17T21:58:31.000Z;0x6614c2dfda1e73f8daae25ca83712f862528e9d117d5beeaf8502b4b8c6d8dfd;0xd922eec436d1c553a074a24ed663c912c898752e7faf9d4999a728a1a1265150;19;77;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;7243;0xe9581fb58eb6fdcbd45fcba793149bab6b0e0c4b;0xe953901b87d98b7a7b626837a92cabdc978772b7;1;1;
14406009;2022-03-17T19:59:09.000Z;0xcade22b64c96c1c60ae376a2f9d20918d791cda8680e4ca33bb18639ae1546af;0x365096607c3389899638cfbb96b5c6199a5710f9bb19e803941ac1b8dd91754c;25;49;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;9131;0x5b098b00621eda6a96b7a476220661ad265f083f;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405992;2022-03-17T19:56:51.000Z;0xb0d6b34694ecbd561ebc8a17e88c430913b218249d86acdc127c885c39f5304c;0xacfe83b5445f9028847b88169df278cebf4ae417eadacbe9929460989f6312ee;9;9;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3340;0x0a4eafeb533d4111a1fe3a8b323c468976ac2323;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405976;2022-03-17T19:52:54.000Z;0xf19f5c343d8eb445a5022957507d1862f1552bdef12ccfb372ccf880217668f2;0xe98cb62f3f9161380e2d7d2810aaa88c6edaa40b92d2d2f087327f6432505f7f;4;1;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;444;0x321c096218de47c09fc2b097afeaf348b4096629;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405966;2022-03-17T19:51:06.000Z;0x8ace397899e5f5d3f27019fea32a1a5230497b88a0a06b9c7edf7a2490f785b0;0x3410e5366beeb26372d6d781bd93850ccf6899537d3e43acb1c45fcf9ed9600e;12;11;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;180;0xfeeb2d7f276b319896f71431ef64fdf1e4ab8d5b;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405966;2022-03-17T19:51:06.000Z;0x8ace397899e5f5d3f27019fea32a1a5230497b88a0a06b9c7edf7a2490f785b0;0x14ce6e05327753057ffc43c2ac6567a5d148b11b01de36cbc381b2fc58ecd26f;7;8;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;456;0xddd0e95a44c5945b4a52c83a4e00ba9635483306;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405961;2022-03-17T19:50:13.000Z;0x9f157e23bf9756f34215f1b04683420e38a94424d37490faf6da1503189779c5;0xbeb718a060e8159105e819e04736b9730652ca65055dc51bc1c6411b2e8ccb24;3;12;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;738;0xfeeb2d7f276b319896f71431ef64fdf1e4ab8d5b;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405958;2022-03-17T19:48:42.000Z;0x846859f069739e69ad581fb8cc7cf5df947ea49f6cd673f21389287101c3c39d;0xb66a33ba06de74b71ec770c4fed76a53b428595a694e0c352693a411868657d7;11;12;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3265;0xfeeb2d7f276b319896f71431ef64fdf1e4ab8d5b;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405957;2022-03-17T19:48:33.000Z;0x084549c51c11dad01668d8f863391056951960f1c0e6e8a79a946f02864b357d;0xc06d3587052f5fa441526fb3feb643cf2efd4f8845579fe15ddc04c279d4d5af;9;65;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;5;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405953;2022-03-17T19:47:33.000Z;0xb268a2986ba77d890390f32ed32fe01a75c532c82ad631bb64fb85363d8cb8b9;0x5f7b1ff4eefb33c61f054f41a43c4a914ab2a9bdff51317a76c20c14988d5615;65;130;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;39;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
