block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14376945;2022-03-13T07:18:22.000Z;0x25e46f6372a0f386536f6510676e7c5ce73261408c50f1a4bd977ec3021f9791;0x79b54b693047b67b34950748e8f7409ee96618a3f1d2929cca5d2ce29be7b398;41;72;17990000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;4553;0xf92bf6c34851abaf97446408b38f7a4a2c6073a3;0x180f752f1b3f3031a545d8d41069cab472322d84;1;1;
14376913;2022-03-13T07:12:19.000Z;0x697edaa070094d0615e3506729b6427436825b9f7132b81fedc8ccde946ae317;0xfd416f3a67de60bc77a3c5dc802c5db465961d0407eb21338fc0b1a0411c324d;37;26;17000000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;4563;0xec18dee817e8b9d45d06edbacc2ddec80ded426d;0x180f752f1b3f3031a545d8d41069cab472322d84;1;1;
14376680;2022-03-13T06:18:47.000Z;0xfd8b7810d642e38e374016b5d9941665a4f6667a95fdfb2154e92f22e236b569;0x4e1f2a0062ae63c7dbd5a4ec6fff9c4632f5989896ae3888a61c607a191d6b04;24;66;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;9361;0x798a0f86e2e267130b814361c0853640af4e629a;0x01e3390fe6b384c817c007b5039107a3eeacaee4;1;1;
14376674;2022-03-13T06:17:21.000Z;0x5616825e6b4f6fcb66d3b28ca51ec52a2d9e63bb8c032d7c9e60774f03c6241a;0xd4c4800940d8b12a53d49fafe01f081006b7d95211570672777e28fdf1462571;54;98;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;7612;0x798a0f86e2e267130b814361c0853640af4e629a;0x01e3390fe6b384c817c007b5039107a3eeacaee4;1;1;
14376666;2022-03-13T06:15:00.000Z;0x2e027df7fb7ee483dde9240b046e20e2226dd7a79eb0404dc166194bc4f4fa41;0x27a13b098cce36290c7ebeff27a410d9429ac0c7917486dabe5278aaa711b0ff;176;243;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;4562;0x798a0f86e2e267130b814361c0853640af4e629a;0x01e3390fe6b384c817c007b5039107a3eeacaee4;1;1;
14376656;2022-03-13T06:13:10.000Z;0xefa420884f1c7e32789c11b9cf56998d5dad6ecc15bbf41d9e734fc8002ed775;0x3c21a2af717f8596ec30212f04a084d90c138a8433fca99dee08ab93dad6c1d3;70;108;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;9403;0x798a0f86e2e267130b814361c0853640af4e629a;0x01e3390fe6b384c817c007b5039107a3eeacaee4;1;1;
14376311;2022-03-13T04:48:11.000Z;0x46cfdf29cbb054ff26618f0259389b5acc69f5cb4695320d340295358555fd2e;0xe8cc5a33c61fcd6c0f0e27b96dd8539d9b78c7c0485251465c9604c4f122a61b;157;347;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;437;0x7a2848e79587aa05235f899840eef1308b1ba3da;0x4785e7af1bdba50522ab507c6f6990476c46834d;1;1;
14375930;2022-03-13T03:16:58.000Z;0x12b8ed324266e3d52f144865d0e6a693a89b836b3eda4a8b93608fbaa3415fa9;0x02571b1927d199603b0a3fad5954ce3aec656bf899d3bc5f601b4bd9d005df9f;72;128;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;9812;0x209d93a50c0f302a38df9be8b0b20d55cf5e8218;0x57ff41dd2a63b818a52f08a6338d56d9a256f4ac;1;1;
14375755;2022-03-13T02:35:01.000Z;0x95c52a752df4d3052121dac421ea4c4fb9cbdb4a4159f51a60177c4a457bb30b;0xe92819ac27f23ee82b9f8432e65fe6fe73c84c6c0bf3c78b256afe4f3d50b2b2;84;198;14500000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6426;0xf76ebe6341dd9dc880596ee1cccffb4938db14e3;0x3af65e3edeb4e8d88c249a8b4666d2f204c2f888;1;1;
14375694;2022-03-13T02:19:18.000Z;0x3b8949c257fde3c97eb7e8790685dac185a325109949a9220a067ae9020f77af;0x80db4b03e5a242520f6a47a14a76849f593db436a40e331ac80833c2c6d1a675;170;757;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;1877;0xd28f0741ca2c14c7718d0e57ad03f5b7e986b2c3;0x7959aafbde7933776897349888589f488406a2fd;1;1;
14375127;2022-03-13T00:12:39.000Z;0xcb351bf098a6583bd0ccf37d51334d26c0a7fe99552f54ca515212eaaa99e72a;0xfee7e6e3d51c62c430a3b6a5fa3671b735a224a98df6638bf5b9b441f826867d;63;136;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;7835;0xfc7c3e555c6846b9f40011aa0628f79687770669;0xd6294bb84e945810f5f4a4e936e20f607cd56586;1;1;
14375079;2022-03-13T00:02:47.000Z;0xd0aad8e99c155578836d1c3c56fbe7db832cd2a565bdb5c71bde811573b4e9b6;0x137d26308caf0b12194e5c0d8f01ea3f4f847e361d5305c0fd66106fa56ce0ec;172;404;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;7835;0x7959aafbde7933776897349888589f488406a2fd;0xfc7c3e555c6846b9f40011aa0628f79687770669;1;1;
14374305;2022-03-12T21:13:06.000Z;0x79e26e627a0a1de2967f676dd65a3629841a0cff9b827cbed060565de5f0a3f8;0xe9e5e74cfb10545e1eb83ca7790277365b9c86e29e2e6aef2d5990194e941fa2;113;244;14000000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6365;0x4a8d54314d8d34dda2e9dad30944a9580c5c4899;0xbb16685f9bb77e92bfaa7380a3fa9a4b59f57da4;1;1;
